rxn_name,subsystem,in iRhtoC,in yeastGEM_hvd,gpr,bounds,stoichiometry
NTP7_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER005W', 'iRhtoC': 'rt0602'}",,
NTP5_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER005W', 'iRhtoC': 'rt0602'}",,
NTP10_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER005W', 'iRhtoC': 'rt0602'}",,
NDP3_g,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YEL042W', 'iRhtoC': 'rt1437'}",,
NDPK2_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL067W', 'iRhtoC': 'rt7311 or rt0575'}",,
AHSERL_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR303W', 'iRhtoC': 'rt8250'}",,
AHSERL2_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR303W', 'iRhtoC': 'rt8250'}",,
SHSL1_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLL058W or YML082W or YAL012W', 'iRhtoC': 'rt1131 or rt3095'}",,
OCBT_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YJL088W', 'iRhtoC': 'rt4934'}",,
ORNDC_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL184W', 'iRhtoC': 'rt4267'}",,
ORNTACi_m,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YMR062C', 'iRhtoC': 'rt7840'}",,
ORNTA_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR438W', 'iRhtoC': 'rt6698'}",,
ORPT_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YML106W or YMR271C', 'iRhtoC': 'rt2348'}",,
OMPDC_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YEL021W', 'iRhtoC': 'rt3750'}",,
PTPAT_c,Pantothenate and CoA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR277C', 'iRhtoC': 'rt6481'}",,
PNTK_c,Pantothenate and CoA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR531W', 'iRhtoC': 'rt5817'}",,
PBAL_c,beta-Alanine metabolism,1,1,"{'GSM_iSace1144_rba': 'YIL145C', 'iRhtoC': 'rt2107'}",,
FACOAE100_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YJR019C', 'iRhtoC': 'rt7680'}",,
FACOAE120_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YJR019C', 'iRhtoC': 'rt7680'}",,
FACOAE160_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YJR019C', 'iRhtoC': 'rt7680'}",,
FACOAE140_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YJR019C', 'iRhtoC': 'rt7680'}",,
FACOAE180_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YJR019C', 'iRhtoC': 'rt7680'}",,
FACOAE80_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YJR019C', 'iRhtoC': 'rt7680'}",,
PHETA1_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YGL202W or YHR137W', 'iRhtoC': 'rt7471 or rt1784 or rt7697'}",,
PHETRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YFL022C and YLR060W', 'iRhtoC': 'rt4102 and rt4881'}",,
PHETRS_m,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YPR047W', 'iRhtoC': 'rt5030'}",,
PRAIS_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL234W', 'iRhtoC': 'rt5891'}",,
ACGAMPM_c,Amino sugar and nucleotide sugar metabolism,1,1,"{'GSM_iSace1144_rba': 'YEL058W', 'iRhtoC': 'rt4597'}",,
PAPSR_c,Sulfur metabolism,1,1,"{'GSM_iSace1144_rba': '(YGR209C and YPR167C) or (YLR043C and YPR167C)', 'iRhtoC': '(rt6971 and rt3373) or (rt7651 and rt3373)'}",,
PPCK_c,Pyruvate metabolism,1,1,"{'GSM_iSace1144_rba': 'YKR097W', 'iRhtoC': 'rt2473'}",,
PFK_c,Glycolysis / Gluconeogenesis,1,1,"{'GSM_iSace1144_rba': 'YMR205C or (YGR240C and YMR205C)', 'iRhtoC': 'rt0491 or rt0499 or rt0495'}",,
GND_c,Pentose phosphate pathway,1,1,"{'GSM_iSace1144_rba': 'YGR256W or YHR183W', 'iRhtoC': 'rt6799 or rt2224'}",,
PGAMT_c,Amino sugar and nucleotide sugar metabolism,1,1,"{'GSM_iSace1144_rba': 'YEL058W', 'iRhtoC': 'rt4597'}",,
PGCD_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YER081W or YIL074C', 'iRhtoC': 'rt1147 or rt3683 or rt0717'}",,
PGK_c,Glycolysis / Gluconeogenesis,1,1,"{'GSM_iSace1144_rba': 'YCR012W', 'iRhtoC': 'rt7353'}",,
PGM_c,Glycolysis / Gluconeogenesis,1,1,"{'GSM_iSace1144_rba': 'YOR283W or YKL152C', 'iRhtoC': 'rt7057 or rt1542'}",,
PMANM_c,Fructose and mannose metabolism,1,1,"{'GSM_iSace1144_rba': 'YFL045C', 'iRhtoC': 'rt0873'}",,
PMPK_c,Thiamine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL055C or YPL258C or YPR121W', 'iRhtoC': 'rt4410'}",,
PMEVK_c,Terpenoid backbone biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR220W', 'iRhtoC': 'rt0334'}",,
PPNCL2_c,Pantothenate and CoA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YIL083C', 'iRhtoC': 'rt0510'}",,
PPCDC_c,Pantothenate and CoA biosynthesis,1,1,"{'GSM_iSace1144_rba': '(YKL088W and YKR072C and YOR054C) or (YKL088W and YKR072C) or (YKL088W and YOR054C)', 'iRhtoC': 'rt0168'}",,
PPM_c,Glycolysis / Gluconeogenesis,1,1,"{'GSM_iSace1144_rba': 'YKL127W or YMR105C or YMR278W', 'iRhtoC': 'rt5343 or rt1591'}",,
PRASCSi_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YAR015W', 'iRhtoC': 'rt0852'}",,
PRAMPC_c,Histidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YCL030C', 'iRhtoC': 'rt3278'}",,
PRATPP_c,Histidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YCL030C', 'iRhtoC': 'rt3278'}",,
AIRC1_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR128C', 'iRhtoC': 'rt3764'}",,
PRAGSi_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL234W', 'iRhtoC': 'rt5891'}",,
GLUPRT_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YMR300C', 'iRhtoC': 'rt6932'}",,
PSERT_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YOR184W', 'iRhtoC': 'rt7036'}",,
PSPHPL_r,Sphingolipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR294C', 'iRhtoC': 'rt3557'}",,
PSPHS_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR297W', 'iRhtoC': 'rt6946'}",,
POLYAO1_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YMR020W', 'iRhtoC': 'rt7571'}",,
PPBNGS_1_c,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL040C', 'iRhtoC': 'rt5026'}",,
POLYAO2_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YMR020W', 'iRhtoC': 'rt7571'}",,
POLYAO3_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YMR020W', 'iRhtoC': 'rt7571'}",,
PPNDH_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YNL316C', 'iRhtoC': 'rt5827'}",,
PPND2_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YBR166C', 'iRhtoC': 'rt7857'}",,
PROD2_m,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR142W', 'iRhtoC': 'rt6234'}",,
PROTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YHR020W', 'iRhtoC': 'rt3118'}",,
PPPGO_m,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YER014W', 'iRhtoC': 'rt3499'}",,
PNP_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR209C', 'iRhtoC': '(rt4016 or rt5402) and rt0004 and rt7908'}",,
PUNP3_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR209C', 'iRhtoC': 'rt7908'}",,
PUNP3_m,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR209C', 'iRhtoC': 'rt7908'}",,
PUNP5_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR209C', 'iRhtoC': 'rt7908'}",,
PYDXO_c,Vitamin B6 metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR035C', 'iRhtoC': 'rt2312'}",,
PYAM5PO_c,Vitamin B6 metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR035C', 'iRhtoC': 'rt2312'}",,
PDX5POi_c,Vitamin B6 metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR035C', 'iRhtoC': 'rt2312'}",,
PYDXNO_c,Vitamin B6 metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR035C', 'iRhtoC': 'rt2312'}",,
P5CR_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YER023W', 'iRhtoC': 'rt5064'}",,
PC_c,Acetyl-CoA synthesis,1,1,"{'GSM_iSace1144_rba': 'YBR218C or YGL062W', 'iRhtoC': 'rt8262 or rt7325'}",,
PYRDC_c,Pyruvate metabolism,1,1,"{'GSM_iSace1144_rba': 'YGR087C or YLR044C or YLR134W', 'iRhtoC': 'rt7423'}",,
PYRDC2_c,Pyruvate metabolism,1,1,"{'GSM_iSace1144_rba': 'YGR087C or YLR044C or YLR134W', 'iRhtoC': 'rt7423'}",,
PDH_m,Acetyl-CoA synthesis,1,1,"{'GSM_iSace1144_rba': 'YBR221C and YER178W and YFL018C and YGR193C and YNL071W', 'iRhtoC': 'rt5580 and rt5262 and rt1672 and rt5354 and rt5758'}",,
PYK_c,Glycolysis / Gluconeogenesis,1,1,"{'GSM_iSace1144_rba': 'YAL038W or YOR347C', 'iRhtoC': 'rt4634'}",,
RBFK_c,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR236C', 'iRhtoC': 'rt0930'}",,
RBFK_m,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR236C', 'iRhtoC': 'rt0930'}",,
RBFSa_c,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL143C', 'iRhtoC': 'rt0910'}",,
RBFSb_c,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR256C', 'iRhtoC': 'rt4127'}",,
RBK_c,Pentose phosphate pathway,1,1,"{'GSM_iSace1144_rba': 'YCR036W', 'iRhtoC': 'rt2501'}",,
RNDR1_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': '(YER070W and YJL026W and YGR180C) or (YER070W and YIL066C and YJL026W and YGR180C)', 'iRhtoC': 'rt2922 and (rt5869 or (rt5869 and rt2804)) and rt6971'}",,
RNDR1_n,Purine metabolism,1,1,"{'GSM_iSace1144_rba': '(YER070W and YJL026W and YGR180C) or (YER070W and YIL066C and YJL026W and YGR180C)', 'iRhtoC': 'rt2922 and (rt5869 or (rt5869 and rt2804)) and rt6971'}",,
RNDR3_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': '(YER070W and YJL026W and YGR180C) or (YER070W and YIL066C and YJL026W and YGR180C)', 'iRhtoC': 'rt2922 and (rt5869 or (rt5869 and rt2804)) and rt6971'}",,
RNDR3_n,Purine metabolism,1,1,"{'GSM_iSace1144_rba': '(YER070W and YJL026W and YGR180C) or (YER070W and YIL066C and YJL026W and YGR180C)', 'iRhtoC': 'rt2922 and (rt5869 or (rt5869 and rt2804)) and rt6971'}",,
RNDR2_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': '(YER070W and YJL026W and YGR180C) or (YER070W and YIL066C and YJL026W and YGR180C)', 'iRhtoC': 'rt2922 and (rt5869 or (rt5869 and rt2804)) and rt6971'}",,
RNDR2_n,Purine metabolism,1,1,"{'GSM_iSace1144_rba': '(YER070W and YJL026W and YGR180C) or (YER070W and YIL066C and YJL026W and YGR180C)', 'iRhtoC': 'rt2922 and (rt5869 or (rt5869 and rt2804)) and rt6971'}",,
RPI_c,Pentose phosphate pathway,1,1,"{'GSM_iSace1144_rba': 'YOR095C', 'iRhtoC': 'rt4920'}",,
RNMK_c,Nicotinate and nicotinamide metabolism,1,1,"{'GSM_iSace1144_rba': 'YNL129W', 'iRhtoC': 'rt6206'}",,
RPE_c,Pentose phosphate pathway,1,1,"{'GSM_iSace1144_rba': 'YJL121C', 'iRhtoC': 'rt7896 or rt3505'}",,
SAM24MT_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YML008C', 'iRhtoC': 'rt4692'}",,
SFGTHi_c,Detoxification,1,1,"{'GSM_iSace1144_rba': 'YJL068C', 'iRhtoC': 'rt1276'}",,
SACCD2_c,Lysine metabolism,1,1,"{'GSM_iSace1144_rba': 'YIR034C', 'iRhtoC': 'rt5719 or rt8465'}",,
SACCD1_c,Lysine metabolism,1,1,"{'GSM_iSace1144_rba': 'YNR050C', 'iRhtoC': 'rt8465'}",,
FBA3_c,Pentose phosphate pathway,1,1,"{'GSM_iSace1144_rba': 'YKL060C', 'iRhtoC': 'rt7052'}",,
SERAT_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YHR013C and YDL040C and YOR253W', 'iRhtoC': 'rt6880'}",,
SERPT_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': '(YBR058C-A and YDR062W and YMR296C) or (YDR062W and YMR296C)', 'iRhtoC': 'rt1057 and rt1935'}",,
SERTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR023W or YHR011W', 'iRhtoC': 'rt1878 or (rt1878 and rt5857)'}",,
SHK3Di_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR127W', 'iRhtoC': 'rt5884'}",,
SHKK_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR127W', 'iRhtoC': 'rt5884'}",,
SHCHD2_c,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR213W', 'iRhtoC': 'rt5201'}",,
SHCHF_c,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR213W', 'iRhtoC': 'rt5201'}",,
SPHPL_r,Sphingolipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR294C', 'iRhtoC': 'rt3557'}",,
SBPP2_r,Lipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YJL134W or YKR053C', 'iRhtoC': 'rt5044'}",,
SBPP1_r,Glycerolipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YJL134W or YKR053C', 'iRhtoC': 'rt5044'}",,
SPHGLpK_r,Sphingolipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR260W or YOR171C', 'iRhtoC': 'rt2023'}",,
SLCBK1_r,Sphingolipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR260W or YOR171C', 'iRhtoC': 'rt2023'}",,
ACONIs_m,C5-Branched dibasic acid metabolism,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
ACONIs_c,C5-Branched dibasic acid metabolism,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
SQLEx_r,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR175C', 'iRhtoC': 'rt5361'}",,
SQLEy_r,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR175C', 'iRhtoC': 'rt5361'}",,
SQLS_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YHR190W', 'iRhtoC': 'rt8223'}",,
SUCOAS_m,Citric acid cycle,1,1,"{'GSM_iSace1144_rba': 'YGR244C and YOR142W', 'iRhtoC': 'rt7599 and rt7776'}",,
SSALy_c,"Alanine, aspartate and glutamate metabolism",1,1,"{'GSM_iSace1144_rba': 'YBR006W', 'iRhtoC': 'rt0324 or rt8468'}",,
SUCR_e,Galactose metabolism,1,1,"{'GSM_iSace1144_rba': 'YIL162W', 'iRhtoC': 'rt6458'}",,
SADT_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJR010W', 'iRhtoC': 'rt5075'}",,
SO3R_c,Sulfur metabolism,1,1,"{'GSM_iSace1144_rba': 'YFR030W and YJR137C', 'iRhtoC': 'rt2006 and rt0376 and rt2682 and rt5201'}",,
TAUDO_c,Taurine and hypotaurine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLL057C', 'iRhtoC': 'rt1858 or rt0250'}",,
THFGLUS_c,Folate metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR241W', 'iRhtoC': 'rt6435'}",,
TMDPK_c,Thiamine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR143C', 'iRhtoC': 'rt8116'}",,
TMDPPK_c,Thiamine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR143C', 'iRhtoC': 'rt8116'}",,
TMPPP_c,Thiamine metabolism,1,1,"{'GSM_iSace1144_rba': 'YPL214C', 'iRhtoC': 'rt7845'}",,
THIORDXi_n,Glutathione metabolism,1,1,"{'GSM_iSace1144_rba': '(YGR209C and YIL010W) or (YIL010W and YLR043C)', 'iRhtoC': '(rt6971 and rt6669) or (rt6669 and rt7651)'}",,
TRDR_c,Unassigned,1,1,"{'GSM_iSace1144_rba': '(YDR353W and YGR209C) or (YDR353W and YLR043C) or YDR353W', 'iRhtoC': '(rt1320 and rt6971) or (rt1320 and rt7651) or rt1320'}",,
THRA_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YEL046C', 'iRhtoC': 'rt0854 or rt7814'}",,
THRS_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YCR053W', 'iRhtoC': 'rt1374'}",,
THRTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YIL078W', 'iRhtoC': 'rt7480'}",,
TMDS_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR074C', 'iRhtoC': 'rt2477 or (rt2477 and rt2476)'}",,
ACONMT_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YER175C', 'iRhtoC': 'rt6691'}",,
PPTT_m,Terpenoid backbone biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YBR003W', 'iRhtoC': 'rt0532'}",,
TALA_c,Pentose phosphate pathway,1,1,"{'GSM_iSace1144_rba': 'YGR043C or YLR354C', 'iRhtoC': 'rt1805'}",,
TRE6PP_c,Starch and sucrose metabolism,1,1,"{'GSM_iSace1144_rba': '(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C)', 'iRhtoC': 'rt3021 and rt3666'}",,
TPI_c,Glycolysis / Gluconeogenesis,1,1,"{'GSM_iSace1144_rba': 'YDR050C', 'iRhtoC': 'rt0932'}",,
TRPS1_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YGL026C', 'iRhtoC': 'rt0894'}",,
TRPTA_c,Tryptophan metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL202W', 'iRhtoC': 'rt7471'}",,
TRPTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YOL097C', 'iRhtoC': 'rt6341'}",,
TRPTRS_m,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR268W', 'iRhtoC': 'rt7165'}",,
TYRTA_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL202W or YHR137W', 'iRhtoC': 'rt7471 or rt7697'}",,
TYRTAi_x,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR027C', 'iRhtoC': 'rt0568 or rt1784 or rt5562'}",,
TYRTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR185C', 'iRhtoC': 'rt8273'}",,
TYRTRS_m,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YPL097W', 'iRhtoC': 'rt4769'}",,
ERGSTGLCT_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR189C', 'iRhtoC': 'rt5466'}",,
UAGDP_c,Amino sugar and nucleotide sugar metabolism,1,1,"{'GSM_iSace1144_rba': 'YDL103C', 'iRhtoC': 'rt0711'}",,
UDPG4E_c,Galactose metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR019C', 'iRhtoC': 'rt0601'}",,
UGLT_c,Galactose metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR018C', 'iRhtoC': 'rt2964'}",,
UMPK_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL024C', 'iRhtoC': 'rt4822'}",,
UMPK_n,Nucleotide metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL024C', 'iRhtoC': 'rt4822'}",,
UPPRT_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YHR128W', 'iRhtoC': 'rt5873 or rt6727'}",,
UREASE_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR208C', 'iRhtoC': 'rt0958'}",,
URIK1_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR020C or YNR012W', 'iRhtoC': 'rt0265'}",,
URIK2_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR020C or YNR012W', 'iRhtoC': 'rt0265'}",,
URIDK2i_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL024C', 'iRhtoC': 'rt4822'}",,
URIDK2_n,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL024C', 'iRhtoC': 'rt4822'}",,
UPPDC1_c,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR047W', 'iRhtoC': 'rt5811'}",,
UPP3MT_2_c,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YKR069W', 'iRhtoC': 'rt2682'}",,
UPP3S_c,Heme metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR278W', 'iRhtoC': 'rt2147'}",,
GALUi_c,Pentose and glucuronate interconversions,1,1,"{'GSM_iSace1144_rba': 'YHL012W or YKL035W', 'iRhtoC': 'rt3384'}",,
VALTA_c,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': 'YJR148W', 'iRhtoC': 'rt5646 or rt6485'}",,
VALTA_m,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': 'YHR208W', 'iRhtoC': 'rt6242'}",,
VALTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR094W', 'iRhtoC': 'rt8160'}",,
VALTRS_m,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR094W', 'iRhtoC': 'rt8160'}",,
XPPT_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJR133W', 'iRhtoC': 'rt4077'}",,
XYLK_c,Pentose and glucuronate interconversions,1,1,"{'GSM_iSace1144_rba': 'YGR194C', 'iRhtoC': 'rt8482'}","{'GSM_iSace1144_rba': [0.0, 1000.0], 'iRhtoC': [0.0, 0.0]}",
YUMPS_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YFL001W or YGL063W or YNL292W or YPL212C', 'iRhtoC': 'rt6068 or rt7720 or rt8055'}",,
MEVt_c_e,Transport,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
BTDt_c_e,Transport,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
2MBACt_c_e,Transport,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
2OXOADPt_c_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YOR222W or YPL134C', 'iRhtoC': 'rt2267'}",,
4ABUTtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YDL210W or YOR348C', 'iRhtoC': 'rt2901 or rt4390'}",,
5AOPtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YDL210W', 'iRhtoC': 'rt2901'}",,
5FTHFt_c_e,Transport,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
ETACt_c_e,Transport,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
ADEtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YER056C or YER060W or YER060W-A or YGL186C', 'iRhtoC': 'rt6190'}",,
ADNtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YAL022C', 'iRhtoC': 'rt5601'}",,
ADPATPt_c_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YBL030C or YBR085W or YMR056C', 'iRhtoC': 'rt4336'}",,
ADPATPt_c_x,Transport,1,1,"{'GSM_iSace1144_rba': 'YPR128C', 'iRhtoC': 'rt7777'}",,
AKGCITta_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YMR241W', 'iRhtoC': 'rt8378'}",,
NH4t_c_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YDR384C or YGR121C or YNL142W or YPR138C', 'iRhtoC': 'rt4558'}",,
AMPATPt_c_x,Transport,1,1,"{'GSM_iSace1144_rba': 'YPR128C', 'iRhtoC': 'rt7777'}",,
ASPGLUt_c_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YPR021C', 'iRhtoC': 'rt8431'}",,
CRNACRNt_c_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YOR100C', 'iRhtoC': 'rt0963'}",,
CHOLtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YGL077C', 'iRhtoC': 'rt7623'}",,
CITMALta_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YBR291C', 'iRhtoC': 'rt2146'}",,
COAt_c_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YHR002W', 'iRhtoC': 'rt0548'}",,
CTPt2_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YBR192W', 'iRhtoC': 'rt4019'}",,
CTPCMPt_c_m,Transport,1,1,"{'GSM_iSace1144_rba': 'YBR192W', 'iRhtoC': 'rt4019'}",,
CYTDtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YAL022C', 'iRhtoC': 'rt5601'}",,
CSNtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YER056C or YER060W or YER060W-A or YGL186C', 'iRhtoC': 'rt6190'}",,
GALtps_e,Transport,1,1,"{'GSM_iSace1144_rba': 'YDR536W or YFL011W or YJL219W or YLR081W or YNL318C or YOL156W', 'iRhtoC': 'rt2336 or rt2833 or rt3556 or rt7817'}",,
LACtps_m,Transport,1,1,"{'GSM_iSace1144_rba': 'SPONT', 'iRhtoC': ''}",,
